number of APIs only in Python-3.3.0 : 115
number of APIs only in Python-3.2 : 76
number of APIs both have, but different : 2
number of APIs both have, and the same : 585
                       Python-3.3.0                                                  Python-3.2                         
PyObject *,PyUnicode_EncodeRawUnicodeEscape(const Py_UNICODE *,Py_ssize_t)                               -                             
PyObject *,PyUnicode_EncodeUTF16(const Py_UNICODE *,Py_ssize_t,const char *,int)                               -                             
PyObject *,PyUnicode_EncodeUTF32(const Py_UNICODE *,Py_ssize_t,const char *,int)                               -                             
PyObject *,PyUnicode_EncodeUTF8(const Py_UNICODE *,Py_ssize_t,const char *)                               -                             
PyObject *,PyUnicode_EncodeUnicodeEscape(const Py_UNICODE *,Py_ssize_t)                               -                             
       int,PyUnicode_FSConverter(PyObject *,void *)                                       -                             
        int,PyUnicode_FSDecoder(PyObject *,void *)                                        -                             
Py_ssize_t,PyUnicode_Fill(PyObject *,Py_ssize_t,Py_ssize_t,Py_UCS4)                               -                             
Py_ssize_t,PyUnicode_Find(PyObject *,PyObject *,Py_ssize_t,Py_ssize_t,int)                               -                             
Py_ssize_t,PyUnicode_FindChar(PyObject *,Py_UCS4,Py_ssize_t,Py_ssize_t,int)                               -                             
    PyObject *,PyUnicode_Format(PyObject *,PyObject *)                                    -                             
PyObject *,PyUnicode_FromEncodedObject(PyObject *,const char *,const char *)                               -                             
       PyObject *,PyUnicode_FromFormat(const char *)                                      -                             
  PyObject *,PyUnicode_FromFormatV(const char *,va_list)                                  -                             
PyObject *,PyUnicode_FromKindAndData(int,const void *,Py_ssize_t)                               -                             
        PyObject *,PyUnicode_FromObject(PyObject *)                                       -                             
           PyObject *,PyUnicode_FromOrdinal(int)                                          -                             
       PyObject *,PyUnicode_FromString(const char *)                                      -                             
PyObject *,PyUnicode_FromStringAndSize(const char *,Py_ssize_t)                               -                             
PyObject *,PyUnicode_FromUnicode(const Py_UNICODE *,Py_ssize_t)                               -                             
        const char *,PyUnicode_GetDefaultEncoding()                                       -                             
        Py_ssize_t,PyUnicode_GetLength(PyObject *)                                        -                             
               Py_UNICODE,PyUnicode_GetMax()                                              -                             
         Py_ssize_t,PyUnicode_GetSize(PyObject *)                                         -                             
          int,PyUnicode_IsIdentifier(PyObject *)                                          -                             
     PyObject *,PyUnicode_Join(PyObject *,PyObject *)                                     -                             
       PyObject *,PyUnicode_New(Py_ssize_t,Py_UCS4)                                       -                             
   PyObject *,PyUnicode_Partition(PyObject *,PyObject *)                                  -                             
  PyObject *,PyUnicode_RPartition(PyObject *,PyObject *)                                  -                             
PyObject *,PyUnicode_RSplit(PyObject *,PyObject *,Py_ssize_t)                               -                             
     Py_UCS4,PyUnicode_ReadChar(PyObject *,Py_ssize_t)                                    -                             
PyObject *,PyUnicode_Replace(PyObject *,PyObject *,PyObject *,Py_ssize_t)                               -                             
       int,PyUnicode_Resize(PyObject **,Py_ssize_t)                                       -                             
PyObject *,PyUnicode_RichCompare(PyObject *,PyObject *,int)                               -                             
PyObject *,PyUnicode_Split(PyObject *,PyObject *,Py_ssize_t)                               -                             
      PyObject *,PyUnicode_Splitlines(PyObject *,int)                                     -                             
PyObject *,PyUnicode_Substring(PyObject *,Py_ssize_t,Py_ssize_t)                               -                             
Py_ssize_t,PyUnicode_Tailmatch(PyObject *,PyObject *,Py_ssize_t,Py_ssize_t,int)                               -                             
PyObject *,PyUnicode_Translate(PyObject *,PyObject *,const char *)                               -                             
PyObject *,PyUnicode_TranslateCharmap(const Py_UNICODE *,Py_ssize_t,PyObject *,const char *)                               -                             
  int,PyUnicode_WriteChar(PyObject *,Py_ssize_t,Py_UCS4)                                  -                             
                             -                                    void,PyUnicodeUCS2_Append(PyObject **,PyObject *)     
                             -                                 void,PyUnicodeUCS2_AppendAndDel(PyObject **,PyObject *)  
                             -                                   PyObject *,PyUnicodeUCS2_AsASCIIString(PyObject *)     
                             -                               PyObject *,PyUnicodeUCS2_AsCharmapString(PyObject *,PyObject *)
                             -                               PyObject *,PyUnicodeUCS2_AsDecodedObject(PyObject *,const char *,const char *)
                             -                               PyObject *,PyUnicodeUCS2_AsDecodedUnicode(PyObject *,const char *,const char *)
                             -                               PyObject *,PyUnicodeUCS2_AsEncodedObject(PyObject *,const char *,const char *)
                             -                               PyObject *,PyUnicodeUCS2_AsEncodedString(PyObject *,const char *,const char *)
                             -                               PyObject *,PyUnicodeUCS2_AsEncodedUnicode(PyObject *,const char *,const char *)
                             -                                   PyObject *,PyUnicodeUCS2_AsLatin1String(PyObject *)    
                             -                               PyObject *,PyUnicodeUCS2_AsRawUnicodeEscapeString(PyObject *)
                             -                                   PyObject *,PyUnicodeUCS2_AsUTF16String(PyObject *)     
                             -                                   PyObject *,PyUnicodeUCS2_AsUTF32String(PyObject *)     
                             -                                    PyObject *,PyUnicodeUCS2_AsUTF8String(PyObject *)     
                             -                                    Py_UNICODE *,PyUnicodeUCS2_AsUnicode(PyObject *)      
                             -                               PyObject *,PyUnicodeUCS2_AsUnicodeEscapeString(PyObject *) 
                             -                                            int,PyUnicodeUCS2_ClearFreelist()             
                             -                                    int,PyUnicodeUCS2_Compare(PyObject *,PyObject *)      
                             -                               int,PyUnicodeUCS2_CompareWithASCIIString(PyObject *,const char *)
                             -                                 PyObject *,PyUnicodeUCS2_Concat(PyObject *,PyObject *)   
                             -                                    int,PyUnicodeUCS2_Contains(PyObject *,PyObject *)     
                             -                               Py_ssize_t,PyUnicodeUCS2_Count(PyObject *,PyObject *,Py_ssize_t,Py_ssize_t)
                             -                               PyObject *,PyUnicodeUCS2_Decode(const char *,Py_ssize_t,const char *,const char *)
